n_clusters,n_rank,eval_loss,Nparams
1,784,109.35998672485351,616225
1,512,109.90166076660157,402705
1,374,118.76777679443359,294375
1,256,150.03991592407226,201745
1,192,187.6091149902344,151505
1,128,255.91950805664064,101265
1,96,325.69468078613284,76145
1,64,462.9029748535156,51025
1,32,812.8948278808593,25905
1,16,1239.5984191894531,13345
1,8,1720.5069140625,7065
5,784,95.35652404785156,3081125
5,512,95.31881866455078,2013525
5,374,99.0918032836914,1471875
5,256,119.92063934326171,1008725
5,192,148.23667526245117,757525
5,128,203.89116333007811,506325
5,96,256.2189682006836,380725
5,64,360.6628100585938,255125
5,32,624.458627319336,129525
5,16,950.6202893066406,66725
5,8,1341.7767407226563,35325
10,784,88.1276756286621,6162250
10,512,88.07397033691406,4027050
10,374,89.99730667114258,2943750
10,256,107.12491897583008,2017450
10,192,128.53732452392578,1515050
10,128,177.3547967529297,1012650
10,96,223.4226168823242,761450
10,64,311.48394958496095,510250
10,32,537.5583129882813,259050
10,16,837.4560205078125,133450
10,8,1185.844970703125,70650
20,784,80.44917175292969,12324500
20,512,80.51438568115235,8054100
20,374,81.46030883789062,5887500
20,256,92.9369677734375,4034900
20,192,111.37453430175782,3030100
20,128,153.70129348754884,2025300
20,96,191.9004684448242,1522900
20,64,271.03755554199216,1020500
20,32,469.1469390869141,518100
20,16,733.1043176269532,266900
20,8,1043.7083374023437,141300
50,784,72.26619277954102,30811250
50,512,72.2051808166504,20135250
50,374,72.52321563720703,14718750
50,256,79.15549423217773,10087250
50,192,93.19250396728516,7575250
50,128,127.54197875976563,5063250
50,96,160.6047299194336,3807250
50,64,230.5277297973633,2551250
50,32,391.30689331054685,1295250
50,16,616.193969116211,667250
50,8,881.5904602050781,353250
100,784,65.19412979125977,61622500
100,512,65.17621459960938,40270500
100,374,65.39695137023926,29437500
100,256,67.95335998535157,20174500
100,192,77.05070388793945,15150500
100,128,103.10335571289062,10126500
100,96,134.16677917480467,7614500
100,64,194.03927124023437,5102500
100,32,346.54143493652344,2590500
100,16,552.918115234375,1334500
100,8,799.1546545410156,706500
200,784,56.16940544128418,123245000
200,512,56.17339683532715,80541000
200,374,56.166060256958005,58875000
200,256,56.47750953674316,40349000
200,192,59.1084317779541,30301000
200,128,75.76202041625976,20253000
200,96,98.25240432739258,15229000
200,64,153.33732330322266,10205000
200,32,294.4952310180664,5181000
200,16,489.5620721435547,2669000
200,8,712.7005163574219,1413000
500,784,40.99215026855469,308112500
500,512,41.02775917053223,201352500
500,374,41.00106685638428,147187500
500,256,40.97644329071045,100872500
500,192,40.97240039825439,75752500
500,128,42.19200225830078,50632500
500,96,48.96440601348877,38072500
500,64,76.86108486175537,25512500
500,32,187.8208171081543,12952500
500,16,368.21488540649415,6672500
500,8,569.2603112792968,3532500
1000,784,30.50776755332947,616225000
1000,512,30.486917457580567,402705000
1000,374,30.418380193710327,294375000
1000,256,30.485544176101683,201745000
1000,192,30.50083261489868,151505000
1000,128,30.46468306541443,101265000
1000,96,30.978453722000122,76145000
1000,64,38.72430388450623,51025000
1000,32,109.35482501983643,25905000
1000,16,271.07347328186034,13345000
1000,8,480.25881393432616,7065000
1500,784,26.19956116994222,924337500
1500,512,26.10860434850057,604057500
1500,374,26.0712747891744,441562500
1500,256,26.21620750427246,302617500
1500,192,26.08505049387614,227257500
1500,128,26.206918970743814,151897500
1500,96,26.16198347727458,114217500
1500,64,28.86845234553019,76537500
1500,32,76.0150774637858,38857500
1500,16,213.31247741699218,20017500
1500,8,428.5887165323893,10597500
2000,784,23.317187609672548,1232450000
2000,512,23.359116320610045,805410000
2000,374,23.279170718193054,588750000
2000,256,23.303804664611818,403490000
2000,192,23.43351502418518,303010000
2000,128,23.447279710769653,202530000
2000,96,23.33457335472107,152290000
2000,64,23.979949259757994,102050000
2000,32,55.39569403648377,51810000
2000,16,177.638773021698,26690000
2000,8,375.76926788330076,14130000
